Sail Date.,2015,2016,2017,2018,2019,2020,2021,2022,2023
14-Dec,5735984,8069313,59318,1983968,0,335863,6166575,22237157,5755537
15-Dec,10828486,4718130,0,10621560,164557,3435597,12246656,45663987,8956778
16-Dec,1398691,347930,1896706,5458773,36370222,1110486,518917,3066974,10685862
17-Dec,5919119,5356834,6906847,4386388,3891659,10492850,0,8747387,194345
18-Dec,4660480,2996065,18643164,15744972,10416901,0,4959000,3193823,4742045
19-Dec,24850,0,30521326,223200,338071,19341972,6821572,61172,68520
20-Dec,14463000,3237952,7761030,8422138,9427530,19188961,2826443,7090134,8169778
21-Dec,5411976,40049165,0,208917,0,9603147,3027537,8264715,730844
22-Dec,9170604,10352284,545251,1923053,6900250,18963439,12812683,0,9717942
23-Dec,1602563,2500,0,7200000,16296519,24300000,0,15595959,9516920
24-Dec,4205050,6838126,6154574,15135072,6678780,9010539,12501320,0,11641000
25-Dec,29858948,25177260,3596386,8080251,6049266,12718551,9672354,1324922,7186648
26-Dec,0,3166118,26367937,0,8847231,31408,0,0,0
27-Dec,18602811,5920988,17506090,6081902,0,0,4067294,0,4607673
28-Dec,307850,9979921,0,55800,55819,9839645,0,16079141,7694353
29-Dec,16878402,1995829,291472,5249180,0,7090580,0,0,2066655
30-Dec,831523,8789438,6131200,0,3946143,10619532,0,7419655,3665809
31-Dec,4023978,8785325,6668281,32821973,7879830,0,111614,7376423,7595589
